category,card_id,illustrator,image_url,localid,name,rarity,set_id,set_name,set_symbol_url,variants,hp,types,evolvefrom,description,stage,attacks,weaknesses,retreat,regulationmark,legal,card_count_official,card_count_total,language,card_number,id
Pokémon,sm5-44,Anesaki Dynamic,https://assets.tcgdex.net/it/sm/sm5/44/high.webp,44,Electivire,Rara,sm5,Ultraprisma,https://assets.tcgdex.net/univ/sm/sm5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",140,"[""Lampo""]",Electabuzz,null,Livello 1,"[{""cost"":[""Lampo"",""Incolore"",""Incolore""],""name"":""Corto Metallico"",""damage"":60,""effect"":""Se il Pokémon attivo del tuo avversario è di tipo Metal, viene paralizzato.""},{""cost"":[""Lampo"",""Lampo"",""Incolore"",""Incolore""],""name"":""Pugno Volt"",""damage"":130}]","[{""type"":""Lotta"",""value"":""×2""}]",4,null,"{""expanded"":true,""standard"":false}",156,173,it,44/156,null
Pokémon,swsh4.5-3,Yuu Nishida,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-3.webp?,3,Celebi,Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Plante""]",null,null,De base,"[{""cost"":[""Plante"",""Incolore"",""Incolore""],""name"":""Enjambée de Feuillage"",""damage"":40}]","[{""type"":""Feu"",""value"":""×2""}]",1,E,"{""expanded"":true,""standard"":false}",72,195,fr,3/72,null
Pokémon,swsh4.5-4,Uta,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-4.webp?,4,Cacnea,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Plante""]",null,null,De base,"[{""cost"":[""Plante"",""Plante""],""name"":""Transpercement"",""damage"":50}]","[{""type"":""Feu"",""value"":""×2""}]",2,E,"{""expanded"":true,""standard"":false}",72,195,fr,4/72,null
Pokémon,swsh4.5-5,Akira Komayama,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-5.webp?,5,Tropius,Peu Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",110,"[""Plante""]",null,null,De base,"[{""cost"":[""Incolore""],""name"":""Main Verte"",""effect"":""Attachez jusqu'à 2 cartes Énergie Grass de votre pile de défausse à vos Pokémon de Banc comme il vous plaît.""},{""cost"":[""Plante"",""Incolore""],""name"":""Tornade"",""damage"":30}]","[{""type"":""Feu"",""value"":""×2""}]",1,E,"{""expanded"":true,""standard"":false}",72,195,fr,5/72,null
Pokémon,swsh4.5-6,HYOGONOSUKE,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-6.webp?,6,Brindibou,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",50,"[""Plante""]",null,null,De base,"[{""cost"":[""Incolore"",""Incolore"",""Incolore""],""name"":""Éclat Volant"",""effect"":""Cette attaque inflige 60 dégâts à l'un des Pokémon de Banc de votre adversaire. (N'appliquez ni la Faiblesse ni la Résistance aux Pokémon de Banc.)""}]","[{""type"":""Feu"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,fr,6/72,null
Pokémon,swsh4.5-7,AKIRA EGAWA,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-7.webp?,7,Efflèche,Peu Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",80,"[""Plante""]",Brindibou,null,Niveau 1,"[{""cost"":[""Plante""],""name"":""Tranch'Herbe"",""damage"":40}]","[{""type"":""Feu"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,fr,7/72,null
Pokémon,swsh4.5-8,Ryota Murayama,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-8.webp?,8,Archéduc,Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":true,""firstEdition"":false}",140,"[""Plante""]",Efflèche,null,Niveau 2,"[{""cost"":[""Plante"",""Incolore""],""name"":""Flèche Fendante"",""damage"":90,""effect"":""Cette attaque inflige aussi 20 dégâts à 2 des Pokémon de Banc de votre adversaire. (N'appliquez ni la Faiblesse ni la Résistance aux Pokémon de Banc.)""}]","[{""type"":""Feu"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,fr,8/72,null
Pokémon,swsh4.5-10,PLANETA Mochizuki,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-10.webp?,10,Sinistrail VMAX,Ultra Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":false,""firstEdition"":false}",330,"[""Plante""]",Sinistrail-V,null,ESCOUADE,"[{""cost"":[""Plante""],""name"":""Chaîne Déchaînée"",""effect"":""Cette attaque inflige 30 dégâts à l'un des Pokémon de votre adversaire pour chaque Énergie Grass attachée à ce Pokémon. (N'appliquez ni la Faiblesse ni la Résistance aux Pokémon de Banc.)""},{""cost"":[""Plante"",""Plante"",""Incolore""],""name"":""Ancromax"",""damage"":240,""effect"":""Pendant votre prochain tour, ce Pokémon ne peut pas utiliser Ancromax.""}]","[{""type"":""Feu"",""value"":""×2""}]",3,D,"{""expanded"":true,""standard"":false}",72,195,fr,10/72,null
Pokémon,swsh4.5-11,Naoki Saito,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-11.webp?,11,Ouistempo,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",60,"[""Plante""]",null,null,De base,"[{""cost"":[""Incolore""],""name"":""Combo-Griffe"",""damage"":""10×"",""effect"":""Lancez 3 pièces. Cette attaque inflige 10 dégâts pour chaque côté face.""}]","[{""type"":""Feu"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,fr,11/72,null
Pokémon,swsh4.5-12,0313,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-12.webp?,12,Badabouin,Peu Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",90,"[""Plante""]",Ouistempo,null,Niveau 1,"[{""cost"":[""Plante""],""name"":""Tapotige"",""damage"":20}]","[{""type"":""Feu"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,fr,12/72,null
Pokemon,dp3-76,Atsuko Nishida,https://assets.tcgdex.net/en/dp/dp3/76/high.webp,76,Bagon,Common,dp3,Secret Wonders,https://assets.tcgdex.net/univ/dp/dp3/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",50,"[""Colorless""]",null,null,Basic,"[{""cost"":[""Colorless""],""name"":""Bite"",""damage"":10},{""cost"":[""Colorless"",""Colorless""],""name"":""Rage"",""damage"":""10+"",""effect"":""Does 10 damage plus 10 more damage for each damage counter on Bagon.""}]","[{""type"":""Colorless"",""value"":""+10""}]",1,null,"{""expanded"":false,""standard"":false}",132,132,en,76/132,null
Pokémon,sv08-111,Teeziro,https://assets.tcgdex.net/de/sv/sv08/111/high.webp,111,Quartermak,Ungewöhnlich,sv08,Stürmische Funken,null,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",110,"[""Kampf""]",null,null,Basis,"[{""cost"":[""Kampf"",""Farblos""],""name"":""Koordiniertes Werfen"",""damage"":""20×"",""effect"":""Diese Attacke fügt für jedes deiner Basis-Pokémon im Spiel 20 Schadenspunkte zu.""}]",null,1,H,"{""expanded"":true,""standard"":true}",191,252,de,111/191,null
Pokémon,sm5-46,Ken Sugimori,https://assets.tcgdex.net/it/sm/sm5/46/high.webp,46,Shinx,Comune,sm5,Ultraprisma,https://assets.tcgdex.net/univ/sm/sm5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",60,"[""Lampo""]",null,null,Base,"[{""cost"":[""Incolore""],""name"":""Sottocarica"",""effect"":""Cerca nel tuo mazzo una carta Energia Lightning e assegnala a questo Pokémon. Poi rimischia le carte del tuo mazzo.""}]","[{""type"":""Lotta"",""value"":""×2""}]",1,null,"{""expanded"":true,""standard"":false}",156,173,it,46/156,null
Pokémon,swsh4.5-16,Kouki Saitou,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-16.webp?,16,Zarude,Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",120,"[""Plante""]",null,null,De base,"[{""cost"":[""Plante"",""Incolore""],""name"":""Lianes Sangsues"",""damage"":30,""effect"":""Soignez 30 dégâts de ce Pokémon.""},{""cost"":[""Plante"",""Plante"",""Incolore""],""name"":""Courroux de la Jungle"",""damage"":110}]","[{""type"":""Feu"",""value"":""×2""}]",2,E,"{""expanded"":true,""standard"":false}",72,195,fr,16/72,null
Pokémon,swsh4.5-17,PLANETA Tsuji,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-17.webp?,17,Reshiram,Magnifique,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":false,""firstEdition"":false}",120,"[""Feu""]",null,null,De base,"[{""cost"":[""Feu"",""Électrique"",""Obscurité""],""name"":""Brasier Magnifique"",""damage"":270,""effect"":""Ce Pokémon s'inflige aussi 60 dégâts.""}]","[{""type"":""Eau"",""value"":""×2""}]",3,D,"{""expanded"":true,""standard"":false}",72,195,fr,17/72,null
Pokémon,swsh4.5-18,5ban Graphics,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-18.webp?,18,Pyrobut V,Holo Rare V,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":false,""firstEdition"":false}",210,"[""Feu""]",null,null,De base,"[{""cost"":[""Feu"",""Feu"",""Incolore""],""name"":""Jambes Carmin"",""damage"":140}]","[{""type"":""Eau"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,fr,18/72,null
Pokémon,swsh4.5-20,Taira Akitsu,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-20.webp?,20,Hypotrempe,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",40,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau""],""name"":""Pistolet à O"",""damage"":10}]","[{""type"":""Électrique"",""value"":""×2""}]",0,E,"{""expanded"":true,""standard"":false}",72,195,fr,20/72,null
Pokémon,swsh4.5-21,Anesaki Dynamic,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-21.webp?,21,Kyogre,Magnifique,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":false,""firstEdition"":false}",120,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau"",""Électrique"",""Métal"",""Incolore""],""name"":""Déferlante Magnifique"",""effect"":""Cette attaque inflige 80 dégâts à chacun des Pokémon de votre adversaire. (N'appliquez ni la Faiblesse ni la Résistance aux Pokémon de Banc.)""}]","[{""type"":""Électrique"",""value"":""×2""}]",3,D,"{""expanded"":true,""standard"":false}",72,195,fr,21/72,null
Pokémon,swsh4.5-22,ryoma uratsuka,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-22.webp?,22,Mustébouée,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau""],""name"":""Pluie Éclaboussante"",""damage"":20}]","[{""type"":""Électrique"",""value"":""×2""}]",1,E,"{""expanded"":true,""standard"":false}",72,195,fr,22/72,null
Pokémon,swsh4.5-23,AKIRA EGAWA,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-23.webp?,23,Mustéflott,Peu Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",110,"[""Eau""]",Mustébouée,null,Niveau 1,"[{""cost"":[""Eau""],""name"":""Surf"",""damage"":50}]","[{""type"":""Électrique"",""value"":""×2""}]",1,E,"{""expanded"":true,""standard"":false}",72,195,fr,23/72,null
Pokémon,swsh4.5-24,Narumi Sato,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-24.webp?,24,Manaphy,Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau"",""Incolore""],""name"":""Grosse Vague"",""damage"":30}]","[{""type"":""Électrique"",""value"":""×2""}]",1,E,"{""expanded"":true,""standard"":false}",72,195,fr,24/72,null
Pokémon,swsh4.5-25,nagimiso,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-25.webp?,25,Volcanion,Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",130,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau"",""Incolore""],""name"":""Enfoncement"",""damage"":50},{""cost"":[""Eau"",""Eau"",""Eau"",""Incolore""],""name"":""Vapeur Explosive"",""damage"":""120×"",""effect"":""Lancez 2 pièces. Cette attaque inflige 120 dégâts pour chaque côté face.""}]","[{""type"":""Électrique"",""value"":""×2""}]",3,E,"{""expanded"":true,""standard"":false}",72,195,fr,25/72,null
Pokémon,swsh4.5-26,sowsow,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-26.webp?,26,Khélocrok,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",80,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau""],""name"":""Charge"",""damage"":10},{""cost"":[""Eau"",""Incolore""],""name"":""Morsure"",""damage"":30}]","[{""type"":""Électrique"",""value"":""×2""}]",2,E,"{""expanded"":true,""standard"":false}",72,195,fr,26/72,null
Pokémon,sm5-47,tetsuya koizumi,https://assets.tcgdex.net/it/sm/sm5/47/high.webp,47,Luxio,Non comune,sm5,Ultraprisma,https://assets.tcgdex.net/univ/sm/sm5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",80,"[""Lampo""]",Shinx,null,Livello 1,"[{""cost"":[""Incolore""],""name"":""Disconnessione"",""damage"":30,""effect"":""Il tuo avversario non può giocare le carte Strumento che ha in mano durante il suo prossimo turno.""}]","[{""type"":""Lotta"",""value"":""×2""}]",1,null,"{""expanded"":true,""standard"":false}",156,173,it,47/156,null
Dresseur,swsh10-187,null,https://assets.tcgdex.net/fr/swsh/swsh10/187/high.webp,187,Cormier,Ultra Rare,swsh10,Astres Radieux,https://assets.tcgdex.net/univ/swsh/swsh10/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":false,""firstEdition"":false}",null,[],null,null,null,null,null,null,F,"{""expanded"":true,""standard"":true}",189,246,fr,187/189,null
Pokémon,swsh4.5-29,Tika Matsuno,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-29.webp?,29,Frissonille,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",50,"[""Eau""]",null,null,De base,"[{""cost"":[""Eau""],""name"":""Appel à la Famille"",""effect"":""Cherchez dans votre deck un Pokémon de base, puis placez-le sur votre Banc. Mélangez ensuite votre deck.""}]","[{""type"":""Métal"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,fr,29/72,null
Pokémon,swsh4.5-30,Kagemaru Himeno,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-30.webp?,30,Beldeneige,Holo Rare,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":false,""wPromo"":false,""reverse"":true,""firstEdition"":false}",90,"[""Eau""]",Frissonille,null,Niveau 1,"[{""cost"":[""Eau"",""Incolore""],""name"":""Onde Boréale"",""damage"":30}]","[{""type"":""Métal"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,fr,30/72,null
Pokémon,swsh4.5-31,Uta,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/fr/swsh4.5-31.webp?,31,Lixy,Commune,swsh4.5,Déstinées Radieuses,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",60,"[""Électrique""]",null,null,De base,"[{""cost"":[""Électrique""],""name"":""Sous Pression"",""damage"":""10+"",""effect"":""S'il reste 3 cartes Récompense ou moins à votre adversaire, cette attaque inflige 50 dégâts supplémentaires.""}]","[{""type"":""Combat"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,fr,31/72,null
